Par,"Emoción grupo (hacia candidato origen, posicionamiento)",Destino (2.ª vuelta: hacia candidato destino),Probabilidad condicional (%)
Jara → Kast,hostilidad,Kast: hostilidad,65.6
Jara → Kast,hostilidad,Kast: ironía,18.8
Jara → Kast,hostilidad,Kast: miedo,4.7
Jara → Kast,hostilidad,Kast: positivo,3.1
Jara → Kast,hostilidad,Kast: sin_emoción,7.8
Jara → Kast,ironía,Kast: hostilidad,66.7
Jara → Kast,ironía,Kast: ironía,9.5
Jara → Kast,ironía,Kast: miedo,4.8
Jara → Kast,ironía,Kast: sin_emoción,19.0
Jara → Kast,miedo,Kast: hostilidad,25.0
Jara → Kast,miedo,Kast: ironía,25.0
Jara → Kast,miedo,Kast: sin_emoción,50.0
Jara → Kast,otro,Kast: positivo,100.0
Jara → Kast,positivo,Kast: hostilidad,75.0
Jara → Kast,positivo,Kast: sin_emoción,25.0
Jara → Kast,sin_emoción,Kast: hostilidad,60.0
Jara → Kast,sin_emoción,Kast: ironía,20.0
Jara → Kast,sin_emoción,Kast: miedo,5.0
Jara → Kast,sin_emoción,Kast: sin_emoción,15.0
Kaiser → Jara,hostilidad,Jara: hostilidad,55.6
Kaiser → Jara,hostilidad,Jara: ironía,33.3
Kaiser → Jara,hostilidad,Jara: sin_emoción,11.1
Kaiser → Jara,ironía,Jara: hostilidad,20.0
Kaiser → Jara,ironía,Jara: ironía,60.0
Kaiser → Jara,ironía,Jara: positivo,20.0
Kaiser → Jara,sin_emoción,Jara: hostilidad,60.0
Kaiser → Jara,sin_emoción,Jara: miedo,40.0
Kaiser → Kast,hostilidad,Kast: hostilidad,63.6
Kaiser → Kast,hostilidad,Kast: ironía,9.1
Kaiser → Kast,hostilidad,Kast: positivo,9.1
Kaiser → Kast,hostilidad,Kast: sin_emoción,18.2
Kaiser → Kast,ironía,Kast: hostilidad,50.0
Kaiser → Kast,ironía,Kast: ironía,33.3
Kaiser → Kast,ironía,Kast: sin_emoción,16.7
Kaiser → Kast,miedo,Kast: sin_emoción,100.0
Kaiser → Kast,sin_emoción,Kast: hostilidad,40.0
Kaiser → Kast,sin_emoción,Kast: positivo,40.0
Kaiser → Kast,sin_emoción,Kast: sin_emoción,20.0
Kast → Jara,hostilidad,Jara: hostilidad,56.2
Kast → Jara,hostilidad,Jara: ironía,24.7
Kast → Jara,hostilidad,Jara: miedo,1.4
Kast → Jara,hostilidad,Jara: positivo,2.7
Kast → Jara,hostilidad,Jara: sin_emoción,15.1
Kast → Jara,ironía,Jara: hostilidad,30.0
Kast → Jara,ironía,Jara: ironía,20.0
Kast → Jara,ironía,Jara: miedo,20.0
Kast → Jara,ironía,Jara: sin_emoción,30.0
Kast → Jara,miedo,Jara: hostilidad,50.0
Kast → Jara,miedo,Jara: sin_emoción,50.0
Kast → Jara,sin_emoción,Jara: hostilidad,73.3
Kast → Jara,sin_emoción,Jara: ironía,13.3
Kast → Jara,sin_emoción,Jara: miedo,6.7
Kast → Jara,sin_emoción,Jara: sin_emoción,6.7
Matthei → Jara,hostilidad,Jara: hostilidad,57.1
Matthei → Jara,hostilidad,Jara: ironía,14.3
Matthei → Jara,hostilidad,Jara: miedo,14.3
Matthei → Jara,hostilidad,Jara: positivo,14.3
Matthei → Jara,ironía,Jara: ironía,40.0
Matthei → Jara,ironía,Jara: miedo,20.0
Matthei → Jara,ironía,Jara: sin_emoción,40.0
Matthei → Jara,positivo,Jara: hostilidad,100.0
Matthei → Jara,sin_emoción,Jara: hostilidad,33.3
Matthei → Jara,sin_emoción,Jara: ironía,33.3
Matthei → Jara,sin_emoción,Jara: sin_emoción,33.3
Matthei → Kast,hostilidad,Kast: hostilidad,77.8
Matthei → Kast,hostilidad,Kast: ironía,11.1
Matthei → Kast,hostilidad,Kast: positivo,11.1
Matthei → Kast,ironía,Kast: hostilidad,50.0
Matthei → Kast,ironía,Kast: ironía,16.7
Matthei → Kast,ironía,Kast: sin_emoción,33.3
Matthei → Kast,miedo,Kast: sin_emoción,100.0
Matthei → Kast,sin_emoción,Kast: hostilidad,50.0
Matthei → Kast,sin_emoción,Kast: ironía,25.0
Matthei → Kast,sin_emoción,Kast: sin_emoción,25.0
