Encuesta | Encuesta,Fecha | Fecha,Jara UpCh | Unnamed: 2_level_1,Matthei ChV | Unnamed: 3_level_1,No votaría | No votaría,NS/NR | NS/NR
Panel Ciudadano[19],30–31 Oct 2025,30%,45%,25%,25%
Atlas Intel[20],25–30 Oct 2025,37%,44%,18%,18%
Criteria[21],27–29 Oct 2025,31%,45%,24%,24%
LCN[22],19–28 Oct 2025,39%,61%,—,—
Cadem[23],22–24 Oct 2025,33%,46%,21%,21%
Panel Ciudadano[24],22–24 Oct 2025,29%,47%,24%,24%
Criteria[25],21–23 Oct 2025,33%,43%,24%,24%
Feedback[26],18–22 Oct 2025,32%,56%,12%,12%
Atlas Intel[27],15–19 Oct 2025,38%,42%,20%,20%
Panel Ciudadano[28],16–17 Oct 2025,30%,45%,25%,25%
Activa[29],15–17 Oct 2025,"32,2%","42,5%","17,6%","7,7%"
Cadem[30],15–17 Oct 2025,30%,48%,22%,22%
Criteria[31],14–17 Oct 2025,33%,43%,24%,—
CEP[32],22 Sep–17 Oct 2025,33%,37%,11%,19%
LCN[33],3–13 Oct 2025,39%,61%,—,—
Panel Ciudadano[34],9–10 Oct 2025,29%,46%,24%,24%
Cadem[35],8–10 Oct 2025,34%,46%,20%,20%
Criteria[36],7–9 Oct 2025,31%,40%,29%,—
Signos Analytics[37],25 Sep–4 Oct 2025,"33,0%","47,1%","8,9%","11,0%"
Panel Ciudadano[38],2–3 Oct 2025,30%,46%,24%,24%
Criteria[39],30 Sep–2 Oct 2025,34%,41%,25%,—
Panel Ciudadano[40],25–26 Sep 2025,28%,45%,25%,25%
LCN[41],17–26 Sep 2025,"41,0%","59,0%",—,—
Criteria[42],23–25 Sep 2025,34%,39%,27%,—
Panel Ciudadano[43],18–19 Sep 2025,29%,46%,25%,25%
Criteria[44],15–17 Sep 2025,33%,41%,26%,—
Panel Ciudadano[45],11–12 Sep 2025,31%,43%,26%,26%
Cadem,10–12 Sep 2025,31%,45%,24%,24%
LCN[46],2–12 Sep 2025,"38,7%","61,3%",—,—
Criteria[47],11 Sep 2025,33%,40%,27%,—
Panel Ciudadano[48],4–5 Sep 2025,29%,47%,24%,24%
Cadem[49],3–5 Sep 2025,32%,43%,25%,25%
Criteria[50],2–4 Sep 2025,33%,42%,25%,—
Panel Ciudadano[51],28–29 Ago 2025,29%,45%,26%,26%
Activa[52],26–29 Ago 2025,"29,1%","34,8%","26,4%","9,7%"
LCN[53],16–28 Ago 2025,"37,8%","62,1%",—,—
Criteria[54],26–28 Ago 2025,31%,40%,29%,—
Panel Ciudadano[55],21–22 Ago 2025,29%,44%,27%,27%
Cadem[56],20–22 Ago 2025,33%,40%,27%,27%
Criteria[57],19–21 Ago 2025,32%,42%,26%,—
Activa[58],14–15 Ago 2025,"31,2%","34,1%","4,7%",30%
Panel Ciudadano[59],14–15 Ago 2025,32%,42%,26%,26%
Criteria[60],12–14 Ago 2025,33%,42%,25%,25%
LCN[61],1–10 Ago 2025,"42,6%","57,4%",—,—
Panel Ciudadano[62],7–8 Ago 2025,32%,44%,24%,24%
Cadem[63],6–8 Ago 2025,37%,46%,17%,17%
Data Influye[64],30 Jul–3 Ago 2025,38%,48%,13%,13%
Cadem[65],30 Jul–1 Ago 2025,37%,42%,21%,21%
Activa[66],30 Jul–1 Ago 2025,"29,8%","40,4%","5,7%","24,1%"
Panel Ciudadano[67],30–31 Jul 2025,32%,41%,27%,27%
Criteria[68],29–31 Jul 2025,34%,40%,26%,26%
LCN[69],12–21 Jul 2025,"41,5%","58,5%",—,—
Criteria[70],15–17 Jul 2025,34%,40%,26%,26%
Cadem[71],9–11 Jul 2025,37%,42%,21%,21%
Data Influye[72],1–6 Jul 2025,41%,43%,16%,16%
Criteria[73],1–3 Jul 2025,35%,40%,25%,25%
Panel Ciudadano[74],29–30 Jun 2025,32%,44%,24%,24%
Cadem[75],25–27 Jun 2025,31%,50%,9%,10%
LCN[76],13–21 Jun 2025,"40,1%","59,9%",—,—
LCN[139],18–24 May 2025,"38,0%","62,0%",—,—
Cadem[77],7–9 May 2025,24%,54%,0%,22%
LCN[153],14–23 Abr 2025,"41,2%","58,8%",—,—
Cadem[165],26–28 Mar 2025,20%,60%,1%,19%
Cadem[175],5–7 Mar 2025,17%,56%,2%,25%
Cadem[183],5–7 Feb 2025,20%,54%,1%,25%
