cluster_kmeans,NEGATIVO,NEUTRO,POSITIVO,REVISAR
0,0.44642857142857145,0.16071428571428573,0.03571428571428571,0.35714285714285715
1,0.6050955414012739,0.11464968152866242,0.050955414012738856,0.22929936305732485
2,0.625531914893617,0.11914893617021277,0.01702127659574468,0.23829787234042554
3,0.6111111111111112,0.13333333333333333,0.018518518518518517,0.23703703703703705
4,0.46766169154228854,0.1691542288557214,0.03980099502487562,0.32338308457711445
5,0.6842105263157895,0.21052631578947367,0.0,0.10526315789473684
6,0.5534591194968553,0.13836477987421383,0.018867924528301886,0.2893081761006289
7,0.5102040816326531,0.1326530612244898,0.07142857142857142,0.2857142857142857
8,0.5822784810126582,0.16877637130801687,0.016877637130801686,0.2320675105485232
9,0.660377358490566,0.08490566037735849,0.04716981132075472,0.20754716981132076
10,0.0,0.5,0.0,0.5
