,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,0.05153259962464907,,,,,
x1,0.028424213786830802,,,,,
x2,1.2871992389409013,,,,,
x3,-0.14057617203098285,,,,,
x4,0.0,,,,,
x5,-0.16041117668309257,,,,,
x6,0.0833897248376291,,,,,
x7,0.0,,,,,
x8,0.12311734877313697,,,,,
x9,-0.19238805514243065,,,,,
x10,-0.06294512416042214,,,,,
x11,0.188908418876956,,,,,
x12,-0.26594678164145646,,,,,
x13,0.010098708011071302,,,,,
x14,0.11847225437795834,,,,,
x15,0.03141688049599642,,,,,
x16,0.04510478299446927,,,,,
x17,-0.024989063865981057,,,,,
x18,-347.6657797467133,,,,,
x19,92.9503337047423,,,,,
x20,0.18696342607789804,,,,,
x21,-0.832805088288115,,,,,
x22,-0.6912250215941468,,,,,
x23,-0.7978744030282268,,,,,
x24,-1.204278692608795,,,,,
x25,-0.9000768755037247,,,,,
x26,-1.2696183795191363,,,,,
x27,0.18696342607789804,,,,,
x28,-0.9118890697339359,,,,,
x29,-1.1270425054070863,,,,,
x30,-137.28291756823688,,,,,
x31,-0.8863654893111391,,,,,
x32,107.56320413139191,,,,,
x33,-0.8863654893111391,,,,,
x34,0.3536580245113049,,,,,
x35,-0.8863654893111391,,,,,
x36,-0.6912250215941468,,,,,
x37,-0.832805088288115,,,,,
x38,-0.9118890697339359,,,,,
x39,-0.8617333080106632,,,,,
x40,-91.66437069675983,,,,,
x41,-28.90743901076663,,,,,
x42,-0.9118890697339359,,,,,
x43,-28.294771302511638,,,,,
x44,-35.5512125153607,,,,,
x45,1.5361107083791852,,,,,
x46,-31.336895851987837,,,,,
x47,-2.156398586179174,,,,,
x48,-273.3394149321333,,,,,
x49,-0.6912250215941468,,,,,
x50,0.3536580245113049,,,,,
x51,105.34859445738103,,,,,
x52,1.3402104838658344,,,,,
x53,-0.7978744030282268,,,,,
x54,80.85416380027586,,,,,
x55,0.18696342607789804,,,,,
x56,-1.3652911667002092,,,,,
x57,-258.2780070109084,,,,,
x58,-1.204278692608795,,,,,
x59,-0.9000768755037247,,,,,
x60,116.76777359613142,,,,,
x61,473.2456911586344,,,,,
x62,-251.57556781176095,,,,,
x63,107.56320413139191,,,,,
x64,2.256797720473195,,,,,
x65,-250.96108024548718,,,,,
x66,80.85416380027586,,,,,
x67,-0.9000768755037247,,,,,
