Category,Metric,Value
Dataset Size,n_users,5000
Dataset Size,n_posts,6238
Dataset Size,n_edges,2511
Network Metrics,assortativity_bloc,-0.007
Network Metrics,assortativity_ideology,0.025
Network Metrics,modularity,0.862
Network Metrics,E-I_index_LR,-0.270
Network Metrics,E-I_index_within_right,0.275
Mock OpenAI,bloc_macro_F1,0.642
Mock OpenAI,within_right_confusion,0.425
ML Performance (Bloc),bloc_accuracy,0.4158653846153846
ML Performance (PC Target),pc_target_accuracy,0.8004807692307693
ML Performance (Strategy),strategy_accuracy,0.75
Attack Model,ROC_AUC,1.000
Attack Model,PR_AUC,1.000
Attack Model,top_8_coefficients,"0.051532599624649, 0.0284242137868308, 1.2871992389409013, -0.1405761720309828, 0.0, -0.1604111766830925, 0.0833897248376291, 0.0"
