tema,candidato,x3d,y3d,z3d
economia,kast,0.006945162756522083,-0.00043920583492296667,0.0029535437570551177
economia,kaiser,-0.0010058387826767507,0.0001784456966395887,0.005436170904477963
economia,matthei,-0.004584169852525177,0.017850351676522665,-0.0033759259429871707
economia,jara,-0.011177942362332034,-0.0029147418783738816,-0.006951099463248605
seguridad,kast,-0.007478852978069787,0.0021063272942805074,0.0003776602393309388
seguridad,kaiser,0.035289566656051354,0.003917115053681486,0.014785827902223521
seguridad,matthei,0.018145903238463594,-0.020332369209559026,0.002483247318351312
seguridad,jara,-0.0009058917644425075,-0.0019322119283902278,-0.0065441998757828895
democracia,kast,-0.007424613326176512,-0.00024392377963687543,0.00025290085499139986
democracia,kaiser,0.006321685285120159,-0.0018119868300245899,0.0018484904828162826
democracia,matthei,0.014963322016192819,0.010733955216078969,0.015552031826288526
democracia,jara,0.0017685625090196268,-0.0023564403002633047,-0.005940879794861714
moral,kast,0.004353013775960282,0.0015839481078788412,-0.0027636724766430913
moral,kaiser,-0.037669672205796444,-0.03679483191681717,0.027576826195261972
moral,matthei,0.0678857418780691,0.020289507546220834,0.032034785390435576
moral,jara,-0.005742503150412616,0.01212162423966228,-0.020841315007302977
identidad,kast,-0.0032873857345984882,0.0032937081136839895,-0.010059702975701012
identidad,kaiser,-0.01745114244631921,-0.023342031784020438,-0.0075379076188641005
identidad,matthei,-0.003815132905294222,-0.03808028227460076,-0.0005770884870369662
identidad,jara,0.013031584833900893,0.0160415774230275,0.01866318725986858
campana_electoral,kast,-0.01743456518443757,-0.012587520538423009,-0.012387493063212324
campana_electoral,kaiser,0.03492589422238096,-0.001465165075173928,0.028604753422542466
campana_electoral,matthei,0.01189288261010292,0.023003606963526567,0.002271334256444011
campana_electoral,jara,0.007451112132695504,0.007713016203226491,0.00696893862145283
migracion,kast,-0.028864899495732753,0.004831786930064488,0.023800759615694642
migracion,kaiser,-0.06140785793296211,-0.029178073998098884,0.0674819978189768
migracion,matthei,0.4666492392254356,0.2403812249432081,-0.18927229656178368
migracion,jara,0.06445044047796318,-0.013431926460556378,-0.07273311212198477
pinochet_ddhh,kast,0.0018042720331268608,-0.008268801952680548,-0.00491067322332836
pinochet_ddhh,kaiser,0.0005406491430937691,-0.049492167545334094,-0.036413555560154666
pinochet_ddhh,matthei,0.06050206671610118,0.013055170568064553,-0.024508455010326634
pinochet_ddhh,jara,-0.012992254167894316,0.05029923571807059,0.03892164924461732
venezuela_latam,kast,0.04618154688264385,0.007487134577383766,-0.04347089100442548
venezuela_latam,kaiser,0.0073580533459668696,-0.0347764777945579,0.006056205955865958
venezuela_latam,matthei,0.15059019400494572,0.09170243213190793,0.1171706865012882
venezuela_latam,jara,-0.08183920667238,-0.009013127173356754,0.05976607987773123
medios_fakenews,kast,0.036804256681408166,0.031158236571601116,-0.002658018187539173
medios_fakenews,kaiser,-0.024103972861893856,-0.07252061939668962,-0.09811571349067394
medios_fakenews,matthei,-0.08229653642428637,0.02757116005729,0.0511224681270347
medios_fakenews,jara,-0.04494811774255528,-0.036989708937979586,0.026762221416757978
religion_valvores,kast,-0.004349232007869422,0.012401454296687101,0.004577800151537205
religion_valvores,kaiser,0.11818651831916292,-0.032848093998284214,-0.02597459407875856
religion_valvores,matthei,0.025716816282279453,-0.06952872147991662,-0.015138188646726813
religion_valvores,jara,-0.05235583895790953,0.0015055465285766494,0.0055590530553752
