sentimiento_origen,sentimiento_destino,n_autores,candidato_origen,candidato_destino,par_etiqueta,pct_sobre_sentimiento_origen
NEGATIVO,NEGATIVO,62,jara,kast,Jara → Kast,92.53731343283582
NEGATIVO,NEUTRO,3,jara,kast,Jara → Kast,4.477611940298507
NEGATIVO,POSITIVO,2,jara,kast,Jara → Kast,2.985074626865672
NEUTRO,NEGATIVO,37,jara,kast,Jara → Kast,86.04651162790698
NEUTRO,NEUTRO,5,jara,kast,Jara → Kast,11.627906976744185
NEUTRO,POSITIVO,1,jara,kast,Jara → Kast,2.3255813953488373
POSITIVO,NEGATIVO,4,jara,kast,Jara → Kast,100.0
NEGATIVO,NEGATIVO,6,kaiser,jara,Kaiser → Jara,60.0
NEGATIVO,NEUTRO,3,kaiser,jara,Kaiser → Jara,30.0
NEGATIVO,POSITIVO,1,kaiser,jara,Kaiser → Jara,10.0
NEUTRO,NEGATIVO,5,kaiser,jara,Kaiser → Jara,83.33333333333333
NEUTRO,NEUTRO,1,kaiser,jara,Kaiser → Jara,16.666666666666668
POSITIVO,NEGATIVO,2,kaiser,jara,Kaiser → Jara,66.66666666666667
POSITIVO,NEUTRO,1,kaiser,jara,Kaiser → Jara,33.333333333333336
NEGATIVO,NEGATIVO,9,kaiser,kast,Kaiser → Kast,90.0
NEGATIVO,NEUTRO,1,kaiser,kast,Kaiser → Kast,10.0
NEUTRO,NEGATIVO,9,kaiser,kast,Kaiser → Kast,100.0
POSITIVO,NEGATIVO,3,kaiser,kast,Kaiser → Kast,75.0
POSITIVO,NEUTRO,1,kaiser,kast,Kaiser → Kast,25.0
NEGATIVO,NEGATIVO,57,kast,jara,Kast → Jara,63.333333333333336
NEGATIVO,NEUTRO,28,kast,jara,Kast → Jara,31.11111111111111
NEGATIVO,POSITIVO,5,kast,jara,Kast → Jara,5.555555555555555
NEUTRO,NEGATIVO,14,kast,jara,Kast → Jara,63.63636363636363
NEUTRO,NEUTRO,8,kast,jara,Kast → Jara,36.36363636363637
POSITIVO,NEGATIVO,2,kast,jara,Kast → Jara,100.0
NEGATIVO,NEGATIVO,3,matthei,jara,Matthei → Jara,60.0
NEGATIVO,NEUTRO,2,matthei,jara,Matthei → Jara,40.0
NEUTRO,NEGATIVO,6,matthei,jara,Matthei → Jara,60.0
NEUTRO,NEUTRO,3,matthei,jara,Matthei → Jara,30.0
NEUTRO,POSITIVO,1,matthei,jara,Matthei → Jara,10.0
POSITIVO,NEGATIVO,1,matthei,jara,Matthei → Jara,100.0
NEGATIVO,NEGATIVO,5,matthei,kast,Matthei → Kast,100.0
NEUTRO,NEGATIVO,12,matthei,kast,Matthei → Kast,85.71428571428571
NEUTRO,NEUTRO,2,matthei,kast,Matthei → Kast,14.285714285714286
POSITIVO,NEGATIVO,1,matthei,kast,Matthei → Kast,100.0
