periodo_2d,prob_positivo,n_comentarios,n_positivos
2025-11-14,0.3333333333333333,3,1
2025-11-16,0.0425531914893617,94,4
2025-11-18,0.030303030303030304,99,3
2025-11-20,0.04081632653061224,49,2
2025-11-22,0.02631578947368421,38,1
2025-11-24,0.046511627906976744,43,2
2025-11-26,0.04054054054054054,74,3
2025-11-28,0.07142857142857142,28,2
2025-11-30,0.0,28,0
2025-12-02,0.024390243902439025,41,1
2025-12-04,0.023809523809523808,42,1
2025-12-06,0.0,31,0
2025-12-08,0.0,10,0
2025-12-10,0.0,71,0
2025-12-12,0.03571428571428571,28,1
2025-12-14,0.08823529411764706,68,6
2025-12-16,0.020833333333333332,48,1
2025-12-18,0.0,31,0
2025-12-20,0.0,14,0
2025-12-22,0.0,16,0
2025-12-24,0.08333333333333333,12,1
2025-12-26,0.0,4,0
2025-12-28,0.2,5,1
2026-01-19,0.0,6,0
2026-01-21,0.4,5,2
