author_hash,n_comentarios,polarizacion_media,pct_negativo,tipo_autor
u_a76e5c1f6d995e49,104,0.38269230769230766,0.6057692307692307,hiperactivo
u_7252cf408fb3d448,62,0.34516129032258064,0.5806451612903226,hiperactivo
u_e8d0fd70420589c9,62,0.43790322580645163,0.7096774193548387,hiperactivo
u_0ac5f945de01f064,61,0.33524590163934426,0.5409836065573771,hiperactivo
u_67f7d352cb30c938,61,0.3614754098360656,0.6065573770491803,hiperactivo
u_eb55e9444e0b3a15,44,0.49886363636363634,0.8181818181818182,hiperactivo
u_314f56332e492eef,42,0.40595238095238095,0.8333333333333334,hiperactivo
u_ecc67a2e9cc7dcbe,38,0.3539473684210526,0.5,hiperactivo
u_7f5284296d0025fb,36,0.4708333333333333,0.8055555555555556,hiperactivo
u_e7fe6950083a36c5,36,0.4652777777777778,0.6666666666666666,hiperactivo
u_1e66b7869ffb2fa5,36,0.49166666666666664,0.8055555555555556,hiperactivo
u_8ae51756b13e7c02,34,0.4720588235294118,0.6764705882352942,hiperactivo
u_6c759608993a7c38,32,0.3984375,0.625,hiperactivo
u_e93cf09d2a123870,32,0.4171875,0.6875,hiperactivo
u_d9392a0a469dd4e5,32,0.32656250000000003,0.53125,hiperactivo
u_35e930d8b0d3ad31,32,0.390625,0.625,hiperactivo
u_2e17c9b437cb21a2,32,0.3140625,0.5625,hiperactivo
u_d5254afb27081ad2,32,0.321875,0.46875,hiperactivo
u_4f48cd8c75ef0736,31,0.33064516129032256,0.45161290322580644,hiperactivo
u_51ec039c4fdb059c,28,0.4089285714285714,0.6428571428571429,hiperactivo
